Pos,RK,Rank,Player,Team (Bye),Position Category
RB1,1,2,Christian McCaffrey,SF (9),RB
WR1,2,1,CeeDee Lamb,DAL (7),WR
WR2,3,4,Tyreek Hill,MIA (6),WR
WR3,4,7,Ja'Marr Chase,CIN (12),WR
WR4,5,8,Amon-Ra St. Brown,DET (5),WR
WR5,6,3,Justin Jefferson,MIN (6),WR
RB2,7,9,Bijan Robinson,ATL (12),RB
RB3,8,5,Breece Hall,NYJ (12),RB
WR6,9,6,A.J. Brown,PHI (5),WR
WR7,10,10,Garrett Wilson,NYJ (12),WR
RB4,11,16,Jonathan Taylor,IND (14),RB
WR8,12,12,Puka Nacua,LAR (6),WR
RB5,13,13,Jahmyr Gibbs,DET (5),RB
RB6,14,18,Saquon Barkley,PHI (5),RB
WR9,15,25,Marvin Harrison,ARI (11),WR
WR10,16,22,Davante Adams,LV (10),WR
WR11,17,24,Drake London,ATL (12),WR
WR12,18,29,Chris Olave,NO (12),WR
QB1,19,38,Josh Allen,BUF (12),QB
RB7,20,32,Travis Etienne,JAC (12),RB
WR13,21,57,Michael Pittman,IND (14),WR
WR14,22,14,Jaylen Waddle,MIA (6),WR
QB2,23,26,Jalen Hurts,PHI (5),QB
WR15,24,20,Brandon Aiyuk,SF (9),WR
WR16,25,30,Mike Evans,TB (11),WR
WR17,26,17,Cooper Kupp,LAR (6),WR
WR18,27,15,Nico Collins,HOU (14),WR
TE1,28,47,Sam LaPorta,DET (5),TE
RB8,29,11,Kyren Williams,LAR (6),RB
QB3,30,37,Patrick Mahomes,KC (6),QB
QB4,31,42,Lamar Jackson,BAL (14),QB
TE2,32,39,Travis Kelce,KC (6),TE
RB9,33,27,Isiah Pacheco,KC (6),RB
WR19,34,40,DJ Moore,CHI (7),WR
WR20,35,21,Deebo Samuel,SF (9),WR
RB10,36,19,De'Von Achane,MIA (6),RB
WR21,37,35,DeVonta Smith,PHI (5),WR
WR22,38,33,DK Metcalf,SEA (10),WR
RB11,39,31,Derrick Henry,BAL (14),RB
WR23,40,23,Malik Nabers,NYG (11),WR
RB12,41,45,Rachaad White,TB (11),RB
WR24,42,34,Amari Cooper,CLE (10),WR
WR25,43,44,Stefon Diggs,HOU (14),WR
RB13,44,78,Alvin Kamara,NO (12),RB
RB14,45,54,James Cook,BUF (12),RB
RB15,46,28,Josh Jacobs,GB (10),RB
QB5,47,53,Anthony Richardson,IND (14),QB
TE3,48,48,Trey McBride,ARI (11),TE
RB16,49,46,Joe Mixon,HOU (14),RB
WR26,50,51,Zay Flowers,BAL (14),WR
WR27,51,49,Christian Kirk,JAC (12),WR
WR28,52,43,Tee Higgins,CIN (12),WR
