Player,Rank,ADP,Diff,Finish2025,Team,Pos,PosRank,Notes,Id
Jahmyr Gibbs,1,,,,DET,RB,1,,22968
Puka Nacua,2,,,,LAR,WR,1,,23180
Ja'Marr Chase,3,,,,CIN,WR,2,,19788
Bijan Robinson,4,,,,ATL,RB,2,,23133
Jaxon Smith-Njigba,5,,,,SEA,WR,3,,23070
Amon-Ra St. Brown,6,,,,DET,WR,4,,19799
Christian McCaffrey,7,,,,SF,RB,3,,16393
Jonathan Taylor,8,,,,IND,RB,4,,19217
CeeDee Lamb,9,,,,DAL,WR,5,,19202
Justin Jefferson,10,,,,MIN,WR,6,,19236
Kenneth Walker III,11,,,,KC,RB,5,,23021
De'Von Achane,12,,,,MIA,RB,6,,23136
Saquon Barkley,13,,,,PHI,RB,7,,17240
James Cook III,14,,,,BUF,RB,8,,22958
Derrick Henry,15,,,,BAL,RB,9,,15514
Chase Brown,16,,,,CIN,RB,10,,25324
Nico Collins,17,,,,HOU,WR,7,,20130
Brock Bowers,18,,,,LV,TE,1,,22955
Malik Nabers,19,,,,NYG,WR,8,,25409
Drake London,20,,,,ATL,WR,9,,23163
A.J. Brown,21,,,,NE,WR,10,,18218
George Pickens,22,,,,DAL,WR,11,,22963
Ashton Jeanty,23,,,,LV,RB,11,,25989
Omarion Hampton,24,,,,LAC,RB,12,,25395
Chris Olave,25,,,,NO,WR,12,,20111
Jaylen Waddle,26,,,,DEN,WR,13,,19790
Trey McBride,27,,,,ARI,TE,2,,22936
Zay Flowers,28,,,,BAL,WR,14,,22916
DeVonta Smith,29,,,,PHI,WR,15,,19222
Jeremiyah Love,30,,,,ARI,RB,13,,25403
Breece Hall,31,,,,NYJ,RB,14,,22982
Tetairoa McMillan,32,,,,CAR,WR,16,,25417
Garrett Wilson,33,,,,NYJ,WR,17,,23072
Tee Higgins,34,,,,CIN,WR,18,,19211
Ladd McConkey,35,,,,LAC,WR,19,,26122
Rashee Rice,36,,,,KC,WR,20,,23113
Emeka Egbuka,37,,,,TB,WR,21,,23062
Colston Loveland,38,,,,CHI,TE,3,,26006
Javonte Williams,39,,,,DAL,RB,15,,22739
D'Andre Swift,40,,,,CHI,RB,16,,19210
Kyren Williams,41,,,,LAR,RB,17,,23059
Travis Etienne Jr.,42,,,,NO,RB,18,,19231
Josh Allen,43,,,,BUF,QB,1,,17298
Parker Washington,44,,,,JAC,WR,22,,23106
Rome Odunze,45,,,,CHI,WR,23,,25411
DJ Moore,46,,,,BUF,WR,24,,17265
Jameson Williams,47,,,,DET,WR,25,,23677
